id,summerProducts,winterProducts,discountPreference,locality,monthlyBudget,favoriteBrands,shoppingFrequency,gender,ageGroup,shoppingTime,submittedAt,favoriteCategories,nextPurchase,purchaseFactor,trendSource,preferredFit,nextColor,city,preferredSize,outOfStockBehaviour,shoppingMode,shoppingSeason,revisitReason,occupation,trendPurchaseSpeed,trendFollower,brandReason,leastPurchased,name,favoriteColors
synthetic_010,Shorts,Hoodies,10%,Rural,"₹5,000-₹10,000",Levi's,Every 2-3 months,Female,18-21,Afternoon,2026-08-02T19:08:40,Party Wear,Jacket,Brand,YouTube,Regular,White,Bengaluru,S,Buy another product,Online,Monsoon,Good Service,Other,Within a month,Sometimes,Price,Sportswear,Customer 010,White
synthetic_011,Jeans,Thermals,50%+,Semi-Urban,"₹10,000+",Zara,Monthly,Female,22-25,Night,2026-07-07T06:08:40,Casual,Dress,Brand,YouTube,Regular,Beige,Chennai,L,Buy another brand,Both,Summer,Good Service,Business,Within a month,Yes,Quality,Accessories,Customer 011,"White, Beige"
synthetic_012,T-Shirts,Thermals,20%,Semi-Urban,"₹1,000-₹2,000",Adidas,Weekly,Female,26-30,Evening,2026-07-02T02:08:40,Ethnic,Jacket,Design,Friends,Relaxed,Green,Patna,XXL,Buy another brand,Both,Summer,Good Quality,Teacher,Within a week,No,Price,Formal Wear,Customer 012,"Black, White"
synthetic_013,Shirts,Shawls,10%,Semi-Urban,"₹10,000+",Myntra,Rarely,Male,18-21,Evening,2026-05-22T11:08:40,Formal,Shirt,Quality,Online Stores,Slim,Green,Patna,L,Visit another store,Online,All Seasons,New Collection,Working Professional,Immediately,Sometimes,Style,Accessories,Customer 013,"White, Beige"
synthetic_014,Shorts,Sweaters,20%,Urban,"₹2,000-₹5,000",Roadster,Weekly,Male,31-40,Evening,2026-08-08T14:08:40,Sportswear,Shoes,Price,Online Stores,Slim,White,Mumbai,M,Visit another store,Both,Winter,Good Service,Teacher,Only if needed,Yes,Style,Formal Wear,Customer 014,"White, Beige"
synthetic_015,T-Shirts,Thermals,50%+,Rural,"₹5,000-₹10,000",Myntra,Weekly,Female,31-40,Afternoon,2026-05-21T17:08:40,Casual,Shirt,Brand,Celebrities,Relaxed,Beige,Patna,S,Buy another product,Online,All Seasons,Good Service,Working Professional,Within a month,Yes,Quality,Sportswear,Customer 015,"Black, White"
synthetic_016,T-Shirts,Hoodies,40%,Semi-Urban,"₹10,000+",Nike,Rarely,Other,26-30,Afternoon,2026-06-18T05:08:40,Streetwear,Hoodie,Design,YouTube,Oversized,White,Patna,XXL,Wait,Offline,Monsoon,Discounts,Teacher,Within a week,No,Trust,Sportswear,Customer 016,"Blue, Grey"
synthetic_017,Shirts,Thermals,30%,Rural,"₹2,000-₹5,000",Roadster,Monthly,Male,22-25,Evening,2026-05-28T04:08:40,Streetwear,Jacket,Price,Instagram,Oversized,Green,Bengaluru,M,Visit another store,Offline,Winter,Variety,Other,Immediately,Sometimes,Quality,Winter Wear,Customer 017,Black
synthetic_018,Kurtas,Thermals,40%,Semi-Urban,"₹10,000+",Nike,Weekly,Female,26-30,Evening,2026-06-16T12:08:40,Ethnic,T-Shirt,Quality,Online Stores,Oversized,White,Delhi,L,Visit another store,Online,Winter,New Collection,Student,Immediately,Yes,Style,Formal Wear,Customer 018,Blue
synthetic_019,T-Shirts,Hoodies,20%,Rural,"₹2,000-₹5,000",H&M,Every 2-3 months,Other,31-40,Morning,2026-07-25T08:08:40,Ethnic,T-Shirt,Reviews,Friends,Relaxed,White,Hyderabad,XL,Wait,Offline,Summer,Discounts,Teacher,Immediately,No,Availability,Formal Wear,Customer 019,"White, Beige"
synthetic_020,Dresses,Coats,40%,Urban,"₹5,000-₹10,000",Zara,Rarely,Female,31-40,Afternoon,2026-08-13T03:08:40,Ethnic,Jacket,Price,Instagram,Relaxed,Black,Hyderabad,XL,Buy another product,Both,Summer,Discounts,Working Professional,Within a month,Yes,Availability,Accessories,Customer 020,"Green, Black"
synthetic_021,Shirts,Jackets,50%+,Semi-Urban,"₹2,000-₹5,000",Levi's,Rarely,Male,26-30,Night,2026-07-26T01:08:40,Formal,Dress,Brand,YouTube,Oversized,Red,Hyderabad,L,Visit another store,Online,Monsoon,Good Service,Teacher,Immediately,No,Style,Formal Wear,Customer 021,Blue
synthetic_022,Dresses,Hoodies,30%,Semi-Urban,"₹10,000+",Roadster,Weekly,Other,26-30,Night,2026-07-19T04:08:40,Party Wear,Shoes,Reviews,Instagram,Slim,Blue,Mumbai,S,Wait,Online,All Seasons,Good Service,Other,Within a month,No,Price,Accessories,Customer 022,"Blue, Grey"
synthetic_023,Kurtas,Shawls,30%,Semi-Urban,"₹2,000-₹5,000",Levi's,Monthly,Female,22-25,Night,2026-06-22T09:08:40,Sportswear,Hoodie,Design,Friends,Slim,Green,Ranchi,XL,Visit another store,Online,All Seasons,Good Service,Working Professional,Within a month,Sometimes,Style,Ethnic Wear,Customer 023,"Green, Black"
synthetic_024,T-Shirts,Coats,50%+,Rural,"₹5,000-₹10,000",Levi's,Weekly,Male,31-40,Afternoon,2026-05-30T12:08:40,Ethnic,T-Shirt,Brand,Celebrities,Regular,White,Hyderabad,L,Visit another store,Offline,Winter,New Collection,Business,Within a week,No,Availability,Accessories,Customer 024,"White, Beige"
synthetic_025,Jeans,Coats,20%,Rural,"₹2,000-₹5,000",Levi's,Rarely,Female,31-40,Afternoon,2026-05-09T02:08:40,Streetwear,Hoodie,Brand,Friends,Relaxed,Beige,Patna,XXL,Buy another product,Offline,All Seasons,Good Quality,Teacher,Only if needed,Yes,Style,Accessories,Customer 025,"Black, White"
synthetic_026,T-Shirts,Hoodies,50%+,Rural,"₹1,000-₹2,000",Nike,Every 2-3 months,Female,26-30,Morning,2026-05-09T21:08:40,Sportswear,Jeans,Quality,Friends,Relaxed,Grey,Mumbai,XL,Buy another product,Offline,Monsoon,Good Quality,Student,Immediately,Yes,Trust,Formal Wear,Customer 026,"Blue, Grey"
synthetic_027,Shorts,Sweaters,50%+,Semi-Urban,"₹5,000-₹10,000",Levi's,Weekly,Other,26-30,Night,2026-07-24T02:08:40,Ethnic,Shirt,Comfort,Online Stores,Slim,Beige,Chennai,XL,Wait,Offline,All Seasons,Variety,Other,Immediately,Yes,Quality,Formal Wear,Customer 027,Black
synthetic_028,Shirts,Hoodies,40%,Semi-Urban,"₹10,000+",Zara,Every 2-3 months,Other,31-40,Morning,2026-07-06T18:08:40,Sportswear,T-Shirt,Design,Instagram,Oversized,White,Mumbai,S,Visit another store,Offline,All Seasons,Discounts,Teacher,Immediately,No,Style,Winter Wear,Customer 028,"Black, White"
synthetic_029,Dresses,Thermals,40%,Urban,"₹10,000+",Nike,Weekly,Female,31-40,Morning,2026-06-19T01:08:40,Streetwear,T-Shirt,Price,Instagram,Slim,Black,Kolkata,XXL,Wait,Both,Monsoon,Good Quality,Business,Only if needed,Yes,Trust,Accessories,Customer 029,"White, Beige"
synthetic_030,Shirts,Sweaters,40%,Urban,"₹10,000+",Levi's,Every 2-3 months,Male,26-30,Night,2026-07-14T19:08:40,Ethnic,Dress,Quality,Celebrities,Regular,Black,Chennai,XXL,Buy another product,Offline,Winter,Variety,Teacher,Only if needed,Sometimes,Quality,Formal Wear,Customer 030,White
synthetic_031,Shirts,Hoodies,40%,Semi-Urban,"₹10,000+",Puma,Rarely,Female,22-25,Afternoon,2026-07-27T14:08:40,Party Wear,Jeans,Brand,Instagram,Slim,Beige,Kolkata,M,Buy another brand,Offline,Summer,New Collection,Business,Immediately,Yes,Style,Formal Wear,Customer 031,"Black, White"
synthetic_032,Kurtas,Coats,30%,Rural,"₹2,000-₹5,000",Zara,Rarely,Other,18-21,Evening,2026-07-19T19:08:40,Party Wear,Shoes,Price,YouTube,Regular,Black,Bengaluru,L,Visit another store,Offline,Summer,Good Service,Student,Within a month,Yes,Price,Formal Wear,Customer 032,"Black, White"
synthetic_033,Dresses,Coats,40%,Rural,"₹10,000+",Roadster,Every 2-3 months,Female,22-25,Night,2026-06-22T07:08:40,Ethnic,T-Shirt,Comfort,Friends,Relaxed,Red,Patna,L,Buy another product,Online,All Seasons,Good Quality,Student,Within a week,Yes,Quality,Formal Wear,Customer 033,"White, Beige"
synthetic_034,Dresses,Thermals,20%,Semi-Urban,"₹2,000-₹5,000",Puma,Every 2-3 months,Male,18-21,Afternoon,2026-05-25T18:08:40,Streetwear,Shirt,Brand,Celebrities,Oversized,Beige,Hyderabad,M,Visit another store,Offline,Winter,Good Service,Working Professional,Within a week,Sometimes,Style,Ethnic Wear,Customer 034,White
synthetic_035,Jeans,Coats,50%+,Urban,"₹1,000-₹2,000",Puma,Rarely,Male,18-21,Night,2026-07-18T22:08:40,Formal,Shoes,Quality,YouTube,Relaxed,Beige,Chennai,L,Wait,Online,Summer,Variety,Business,Within a month,Sometimes,Availability,Winter Wear,Customer 035,"White, Beige"
synthetic_036,Shirts,Shawls,40%,Semi-Urban,"₹5,000-₹10,000",Adidas,Rarely,Male,26-30,Morning,2026-08-05T16:08:40,Streetwear,Shoes,Quality,Instagram,Slim,Grey,Bengaluru,XXL,Buy another product,Both,Monsoon,Variety,Business,Only if needed,Sometimes,Quality,Formal Wear,Customer 036,"Blue, Grey"
synthetic_037,T-Shirts,Jackets,50%+,Semi-Urban,"₹2,000-₹5,000",Nike,Rarely,Other,31-40,Night,2026-08-20T05:08:40,Formal,T-Shirt,Reviews,Online Stores,Regular,White,Kolkata,M,Wait,Online,Summer,Discounts,Business,Only if needed,Sometimes,Availability,Formal Wear,Customer 037,White
synthetic_038,Dresses,Thermals,20%,Rural,"₹5,000-₹10,000",H&M,Monthly,Female,26-30,Morning,2026-05-16T11:08:40,Party Wear,T-Shirt,Comfort,YouTube,Relaxed,Beige,Mumbai,S,Visit another store,Online,Monsoon,Discounts,Student,Within a week,Yes,Price,Formal Wear,Customer 038,"Black, White"
synthetic_039,T-Shirts,Hoodies,40%,Urban,"₹10,000+",Nike,Rarely,Female,22-25,Afternoon,2026-07-08T02:08:40,Ethnic,Hoodie,Price,Celebrities,Slim,Green,Mumbai,XXL,Wait,Online,Summer,Variety,Business,Within a month,Yes,Quality,Sportswear,Customer 039,"Blue, Grey"
synthetic_040,Dresses,Thermals,40%,Rural,"₹5,000-₹10,000",Myntra,Rarely,Male,31-40,Afternoon,2026-08-14T21:08:40,Streetwear,Shirt,Comfort,Celebrities,Oversized,Red,Patna,XL,Buy another product,Both,Winter,Discounts,Other,Immediately,Yes,Availability,Accessories,Customer 040,"Black, White"
synthetic_041,Dresses,Thermals,20%,Semi-Urban,"₹1,000-₹2,000",Puma,Weekly,Female,31-40,Evening,2026-06-11T22:08:40,Casual,Jeans,Price,Celebrities,Relaxed,Blue,Kolkata,XXL,Visit another store,Online,Monsoon,New Collection,Working Professional,Within a month,Yes,Quality,Formal Wear,Customer 041,White
synthetic_042,Jeans,Shawls,30%,Semi-Urban,"₹2,000-₹5,000",Nike,Every 2-3 months,Male,22-25,Evening,2026-07-20T00:08:40,Sportswear,T-Shirt,Brand,Instagram,Slim,Green,Hyderabad,L,Visit another store,Online,All Seasons,Discounts,Business,Within a month,Sometimes,Style,Accessories,Customer 042,White
synthetic_043,Dresses,Coats,40%,Urban,"₹10,000+",Myntra,Weekly,Female,31-40,Night,2026-06-06T05:08:40,Ethnic,Jeans,Reviews,Friends,Oversized,Green,Mumbai,L,Buy another product,Both,Summer,New Collection,Working Professional,Within a month,Sometimes,Availability,Formal Wear,Customer 043,Black
synthetic_044,Dresses,Thermals,10%,Rural,"₹1,000-₹2,000",Zara,Rarely,Male,26-30,Evening,2026-05-30T07:08:40,Sportswear,T-Shirt,Price,Friends,Relaxed,Red,Kolkata,S,Buy another product,Online,Monsoon,New Collection,Working Professional,Within a month,Sometimes,Availability,Sportswear,Customer 044,Black
synthetic_045,Kurtas,Coats,20%,Rural,"₹2,000-₹5,000",Adidas,Weekly,Other,26-30,Morning,2026-07-28T01:08:40,Ethnic,Jeans,Quality,Online Stores,Relaxed,Beige,Hyderabad,L,Wait,Online,Winter,Discounts,Working Professional,Immediately,No,Trust,Accessories,Customer 045,Blue
synthetic_046,T-Shirts,Coats,40%,Semi-Urban,"₹1,000-₹2,000",Nike,Rarely,Female,18-21,Morning,2026-07-25T16:08:40,Streetwear,Shirt,Reviews,Online Stores,Slim,Red,Chennai,M,Visit another store,Both,Winter,Good Service,Student,Only if needed,Yes,Style,Winter Wear,Customer 046,"Blue, Grey"
synthetic_047,Dresses,Jackets,30%,Rural,"₹2,000-₹5,000",Zara,Monthly,Female,31-40,Afternoon,2026-07-25T13:08:40,Casual,Jeans,Quality,YouTube,Relaxed,Black,Chennai,M,Visit another store,Both,Winter,Discounts,Working Professional,Within a week,Sometimes,Style,Sportswear,Customer 047,"Blue, Grey"
synthetic_048,Dresses,Coats,40%,Urban,"₹5,000-₹10,000",Roadster,Weekly,Male,31-40,Evening,2026-07-04T14:08:40,Formal,Shoes,Price,Friends,Slim,Green,Patna,XXL,Wait,Online,Monsoon,Variety,Other,Within a month,No,Availability,Sportswear,Customer 048,"Green, Black"
synthetic_049,Shirts,Coats,30%,Semi-Urban,"₹2,000-₹5,000",Myntra,Every 2-3 months,Male,26-30,Morning,2026-07-25T20:08:40,Casual,Jeans,Brand,Online Stores,Oversized,White,Bengaluru,M,Wait,Offline,Winter,Discounts,Working Professional,Within a week,No,Price,Accessories,Customer 049,Black
synthetic_050,T-Shirts,Jackets,40%,Semi-Urban,"₹1,000-₹2,000",Puma,Rarely,Female,18-21,Morning,2026-05-16T22:08:40,Sportswear,Shoes,Reviews,Friends,Relaxed,Blue,Chennai,L,Wait,Online,Summer,Good Service,Student,Immediately,Yes,Style,Winter Wear,Customer 050,"Black, White"
synthetic_051,Jeans,Hoodies,50%+,Rural,"₹2,000-₹5,000",Myntra,Monthly,Male,31-40,Night,2026-08-07T07:08:40,Casual,Shoes,Brand,Instagram,Relaxed,Red,Bengaluru,S,Wait,Online,All Seasons,New Collection,Business,Within a week,No,Trust,Ethnic Wear,Customer 051,Black
synthetic_052,Shirts,Shawls,20%,Urban,"₹1,000-₹2,000",Adidas,Monthly,Other,26-30,Afternoon,2026-05-28T20:08:40,Streetwear,Shirt,Comfort,Friends,Oversized,White,Kolkata,L,Visit another store,Offline,All Seasons,Discounts,Teacher,Within a week,No,Style,Winter Wear,Customer 052,Black
synthetic_053,Jeans,Coats,40%,Semi-Urban,"₹1,000-₹2,000",Levi's,Weekly,Female,31-40,Evening,2026-07-06T00:08:40,Casual,Jeans,Price,Friends,Relaxed,Black,Delhi,M,Visit another store,Online,Monsoon,Discounts,Student,Only if needed,No,Availability,Ethnic Wear,Customer 053,"Blue, Grey"
synthetic_054,Kurtas,Shawls,30%,Urban,"₹5,000-₹10,000",Myntra,Rarely,Other,22-25,Night,2026-07-01T13:08:40,Streetwear,T-Shirt,Brand,YouTube,Oversized,Red,Patna,M,Wait,Offline,All Seasons,Discounts,Business,Only if needed,Sometimes,Quality,Winter Wear,Customer 054,"Green, Black"
synthetic_055,Shirts,Jackets,10%,Semi-Urban,"₹10,000+",Puma,Every 2-3 months,Other,31-40,Night,2026-08-04T13:08:40,Sportswear,Jacket,Price,Friends,Regular,Green,Kolkata,XL,Visit another store,Both,All Seasons,Discounts,Other,Only if needed,No,Trust,Formal Wear,Customer 055,"Blue, Grey"
synthetic_056,Dresses,Shawls,30%,Urban,"₹10,000+",Zara,Monthly,Male,22-25,Afternoon,2026-06-09T16:08:40,Sportswear,Jacket,Design,Friends,Regular,Grey,Chennai,L,Visit another store,Both,Summer,Good Quality,Student,Within a month,No,Quality,Winter Wear,Customer 056,White
synthetic_057,T-Shirts,Sweaters,10%,Urban,"₹5,000-₹10,000",H&M,Weekly,Female,26-30,Afternoon,2026-07-02T06:08:40,Ethnic,Dress,Price,YouTube,Regular,Red,Bengaluru,XXL,Buy another product,Both,All Seasons,Good Quality,Working Professional,Within a week,No,Price,Sportswear,Customer 057,"White, Beige"
synthetic_058,Jeans,Coats,10%,Rural,"₹1,000-₹2,000",Roadster,Every 2-3 months,Male,18-21,Morning,2026-06-15T17:08:40,Sportswear,Hoodie,Brand,Instagram,Oversized,Red,Chennai,L,Visit another store,Both,All Seasons,Good Service,Working Professional,Within a month,Yes,Trust,Accessories,Customer 058,"Blue, Grey"
synthetic_059,Shirts,Shawls,50%+,Semi-Urban,"₹1,000-₹2,000",Puma,Every 2-3 months,Male,18-21,Morning,2026-05-23T23:08:40,Sportswear,Shirt,Comfort,YouTube,Relaxed,Beige,Patna,L,Wait,Online,Summer,New Collection,Other,Within a week,Sometimes,Quality,Sportswear,Customer 059,Black
synthetic_060,Shorts,Coats,40%,Rural,"₹10,000+",Myntra,Weekly,Female,18-21,Afternoon,2026-06-15T01:08:40,Formal,T-Shirt,Brand,Friends,Regular,Blue,Chennai,M,Buy another brand,Both,Monsoon,Variety,Teacher,Within a week,Yes,Style,Ethnic Wear,Customer 060,"Black, White"
synthetic_061,Shirts,Jackets,20%,Urban,"₹2,000-₹5,000",Adidas,Rarely,Female,22-25,Night,2026-06-24T20:08:40,Formal,Jacket,Price,Friends,Relaxed,Grey,Ranchi,XL,Buy another brand,Online,All Seasons,Discounts,Teacher,Immediately,No,Style,Formal Wear,Customer 061,"White, Beige"
synthetic_062,Dresses,Sweaters,30%,Semi-Urban,"₹2,000-₹5,000",Nike,Every 2-3 months,Male,22-25,Evening,2026-06-30T21:08:40,Sportswear,T-Shirt,Price,Online Stores,Oversized,White,Hyderabad,XXL,Buy another product,Both,All Seasons,Good Service,Business,Immediately,Sometimes,Style,Winter Wear,Customer 062,"Black, White"
synthetic_063,Dresses,Hoodies,10%,Semi-Urban,"₹10,000+",Adidas,Weekly,Female,22-25,Night,2026-05-25T20:08:40,Casual,Jacket,Quality,Celebrities,Oversized,Red,Kolkata,S,Buy another product,Online,Summer,Good Quality,Business,Immediately,Yes,Style,Sportswear,Customer 063,White
synthetic_064,Dresses,Coats,20%,Rural,"₹5,000-₹10,000",Nike,Every 2-3 months,Other,18-21,Afternoon,2026-07-20T23:08:40,Streetwear,T-Shirt,Reviews,Online Stores,Slim,Beige,Hyderabad,XL,Wait,Online,All Seasons,Good Service,Teacher,Within a week,Sometimes,Availability,Accessories,Customer 064,Black
synthetic_065,Dresses,Shawls,10%,Rural,"₹5,000-₹10,000",Zara,Weekly,Male,18-21,Afternoon,2026-08-07T01:08:40,Formal,Jacket,Brand,Friends,Regular,Black,Patna,L,Wait,Offline,Monsoon,New Collection,Other,Only if needed,No,Trust,Sportswear,Customer 065,Blue
synthetic_066,Shirts,Shawls,10%,Semi-Urban,"₹2,000-₹5,000",H&M,Rarely,Female,22-25,Night,2026-07-27T22:08:40,Casual,Jacket,Comfort,Celebrities,Slim,White,Mumbai,M,Visit another store,Online,Summer,Variety,Business,Within a week,Yes,Quality,Ethnic Wear,Customer 066,Black
synthetic_067,Shorts,Jackets,50%+,Urban,"₹5,000-₹10,000",Zara,Every 2-3 months,Male,26-30,Night,2026-08-12T05:08:40,Streetwear,Shoes,Design,YouTube,Regular,Red,Patna,S,Visit another store,Both,Summer,New Collection,Working Professional,Immediately,Sometimes,Trust,Sportswear,Customer 067,Blue
synthetic_068,T-Shirts,Sweaters,20%,Urban,"₹2,000-₹5,000",Zara,Weekly,Female,31-40,Night,2026-07-06T10:08:40,Streetwear,Shoes,Brand,Instagram,Relaxed,Beige,Hyderabad,XXL,Visit another store,Both,Summer,Good Quality,Other,Within a month,Yes,Trust,Formal Wear,Customer 068,White
synthetic_069,T-Shirts,Sweaters,40%,Rural,"₹1,000-₹2,000",H&M,Weekly,Male,26-30,Evening,2026-05-16T18:08:40,Ethnic,Dress,Comfort,YouTube,Oversized,Grey,Chennai,M,Wait,Both,Winter,New Collection,Other,Immediately,Yes,Style,Sportswear,Customer 069,"White, Beige"
synthetic_070,Shirts,Sweaters,20%,Semi-Urban,"₹1,000-₹2,000",Roadster,Weekly,Other,18-21,Evening,2026-07-16T09:08:40,Formal,Jacket,Reviews,Online Stores,Regular,Green,Delhi,XXL,Visit another store,Online,Winter,Good Quality,Business,Within a week,Yes,Style,Ethnic Wear,Customer 070,"Black, White"
synthetic_071,Kurtas,Sweaters,50%+,Semi-Urban,"₹1,000-₹2,000",Puma,Weekly,Female,26-30,Night,2026-06-11T12:08:40,Casual,Dress,Brand,Celebrities,Regular,Grey,Kolkata,L,Wait,Both,Summer,New Collection,Teacher,Only if needed,No,Availability,Accessories,Customer 071,"Blue, Grey"
synthetic_072,Shirts,Shawls,20%,Urban,"₹2,000-₹5,000",Zara,Monthly,Other,22-25,Night,2026-08-06T04:08:40,Formal,Dress,Comfort,Instagram,Relaxed,Red,Hyderabad,XXL,Visit another store,Online,Monsoon,New Collection,Other,Immediately,Yes,Style,Accessories,Customer 072,"Black, White"
synthetic_073,T-Shirts,Shawls,30%,Semi-Urban,"₹2,000-₹5,000",Adidas,Rarely,Other,22-25,Morning,2026-06-28T04:08:40,Streetwear,Dress,Comfort,Instagram,Slim,Blue,Hyderabad,L,Visit another store,Offline,Monsoon,Discounts,Student,Within a month,No,Price,Winter Wear,Customer 073,"White, Beige"
synthetic_074,Shorts,Shawls,30%,Semi-Urban,"₹2,000-₹5,000",Levi's,Rarely,Other,31-40,Afternoon,2026-06-23T08:08:40,Streetwear,Hoodie,Reviews,Friends,Relaxed,Red,Delhi,XL,Buy another product,Both,All Seasons,Good Quality,Teacher,Within a week,Sometimes,Availability,Formal Wear,Customer 074,"White, Beige"
synthetic_075,T-Shirts,Hoodies,10%,Semi-Urban,"₹5,000-₹10,000",Puma,Monthly,Female,18-21,Morning,2026-06-12T21:08:40,Formal,Jacket,Brand,Celebrities,Oversized,Black,Hyderabad,XL,Buy another brand,Offline,Winter,Good Quality,Student,Within a month,Sometimes,Quality,Winter Wear,Customer 075,"Green, Black"
synthetic_076,Shirts,Coats,40%,Rural,"₹2,000-₹5,000",Myntra,Monthly,Female,22-25,Afternoon,2026-08-04T20:08:40,Sportswear,Jeans,Quality,Instagram,Relaxed,White,Delhi,L,Wait,Offline,Summer,Discounts,Other,Within a month,Sometimes,Trust,Accessories,Customer 076,"Blue, Grey"
synthetic_077,Dresses,Coats,40%,Semi-Urban,"₹5,000-₹10,000",Zara,Monthly,Female,31-40,Evening,2026-06-02T06:08:40,Ethnic,Shoes,Reviews,Instagram,Regular,Blue,Bengaluru,XL,Buy another brand,Online,All Seasons,Variety,Student,Immediately,No,Trust,Accessories,Customer 077,"Green, Black"
synthetic_078,T-Shirts,Shawls,50%+,Urban,"₹5,000-₹10,000",Roadster,Every 2-3 months,Male,26-30,Evening,2026-05-21T22:08:40,Party Wear,Shirt,Design,Celebrities,Oversized,Beige,Ranchi,XL,Wait,Both,Summer,Variety,Business,Within a week,Yes,Quality,Sportswear,Customer 078,"White, Beige"
synthetic_079,Shirts,Jackets,10%,Rural,"₹2,000-₹5,000",Roadster,Weekly,Female,26-30,Morning,2026-05-26T10:08:40,Casual,T-Shirt,Quality,Celebrities,Relaxed,Red,Mumbai,XXL,Buy another product,Offline,Winter,New Collection,Business,Within a week,Yes,Trust,Winter Wear,Customer 079,"Green, Black"
synthetic_080,Jeans,Sweaters,50%+,Rural,"₹1,000-₹2,000",Adidas,Monthly,Male,26-30,Morning,2026-09-02T01:08:40,Streetwear,Shirt,Price,Online Stores,Slim,Blue,Mumbai,S,Buy another product,Online,Winter,New Collection,Other,Only if needed,No,Availability,Formal Wear,Customer 080,White
synthetic_081,Kurtas,Coats,50%+,Semi-Urban,"₹2,000-₹5,000",Adidas,Monthly,Other,26-30,Evening,2026-05-17T14:08:40,Party Wear,T-Shirt,Price,Celebrities,Relaxed,Red,Mumbai,L,Buy another brand,Both,Monsoon,Good Quality,Working Professional,Immediately,No,Price,Accessories,Customer 081,"Blue, Grey"
